Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,8,3,17,14,2,2,1,0,0,0,0,0,3,6,0.143,0.294,0.214,0.508,3,0,0,0,0,0,0,0.25,100,47,1
Season Totals,Last 7 days,2,1,4,4,0,1,1,0,0,0,0,0,0,1,0.25,0.25,0.5,0.75,2,0,0,0,0,0,0,0.333,219,110,0
Season Totals,Last 14 days,4,2,9,8,0,1,1,0,0,0,0,0,1,2,0.125,0.222,0.25,0.472,2,0,0,0,0,0,0,0.167,92,32,0
Season Totals,Last 28 days,8,3,17,14,2,2,1,0,0,0,0,0,3,6,0.143,0.294,0.214,0.508,3,0,0,0,0,0,0,0.25,100,44,1
Season Totals,Last 365 days,8,3,17,14,2,2,1,0,0,0,0,0,3,6,0.143,0.294,0.214,0.508,3,0,0,0,0,0,0,0.25,100,,1
Platoon Splits,vs RHP,3,,3,2,1,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,13,7,0
Platoon Splits,vs LHP,8,,14,12,1,2,1,0,0,0,0,0,2,5,0.167,0.286,0.25,0.536,3,0,0,0,0,0,0,0.286,114,53,1
Platoon Splits,vs RHP as RHB,3,,3,2,,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,13,10,0
Platoon Splits,vs LHP as RHB,8,,14,12,,2,1,0,0,0,0,0,2,5,0.167,0.286,0.25,0.536,3,0,0,0,0,0,0,0.286,114,49,1
Platoon Splits,vs RH Starter,4,0,6,4,1,1,1,0,0,0,0,0,2,1,0.25,0.5,0.5,1.0,2,0,0,0,0,0,0,0.333,304,186,0
Platoon Splits,vs LH Starter,4,3,11,10,1,1,0,0,0,0,0,0,1,5,0.1,0.182,0.1,0.282,1,0,0,0,0,0,0,0.2,9,-17,1
Home or Away,Home,2,1,5,4,0,0,0,0,0,0,0,0,1,1,0.0,0.2,0.0,0.2,0,0,0,0,0,0,0,0.0,-32,-37,0
Home or Away,Away,6,2,12,10,2,2,1,0,0,0,0,0,2,5,0.2,0.333,0.3,0.633,3,0,0,0,0,0,0,0.4,154,84,1
First or Second Half,2nd Half,8,3,17,14,2,2,1,0,0,0,0,0,3,6,0.143,0.294,0.214,0.508,3,0,0,0,0,0,0,0.25,100,46,1
Months,July,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Months,August,7,3,16,13,2,2,1,0,0,0,0,0,3,5,0.154,0.313,0.231,0.543,3,0,0,0,0,0,0,0.25,114,56,1
Game Outcome for Team,in Wins,1,1,4,3,1,1,0,0,0,0,0,0,1,2,0.333,0.5,0.333,0.833,1,0,0,0,0,0,0,1.0,226,111,1
Game Outcome for Team,in Losses,7,2,13,11,1,1,1,0,0,0,0,0,2,4,0.091,0.231,0.182,0.413,2,0,0,0,0,0,0,0.143,64,43,0
Starter or Substitute,as Starter,3,3,10,9,1,1,0,0,0,0,0,0,1,4,0.111,0.2,0.111,0.311,1,0,0,0,0,0,0,0.2,20,-9,1
Starter or Substitute,as Sub,5,0,7,5,1,1,1,0,0,0,0,0,2,2,0.2,0.429,0.4,0.829,2,0,0,0,0,0,0,0.333,233,156,0
Defensive Positions,as LF,3,,8,7,1,1,0,0,0,0,0,0,1,3,0.143,0.25,0.143,0.393,1,0,0,0,0,0,0,0.25,52,16,1
Defensive Positions,as RF,2,,4,4,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH,5,,5,3,1,1,1,0,0,0,0,0,2,1,0.333,0.6,0.667,1.267,2,0,0,0,0,0,0,0.5,416,299,0
Leading Off Inning,Leadoff Inn.,3,,4,4,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 3rd,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 6th,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,70,65,0
Batting Order Positions,Batting 8th,4,3,12,10,2,1,0,0,0,0,0,0,2,5,0.1,0.25,0.1,0.35,1,0,0,0,0,0,0,0.2,32,13,1
Batting Order Positions,Batting 9th,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,1175,843,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,3,,3,2,,0,0,0,0,0,,,1,1,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,13,18,0
Swung or Took First Pitch of PA,Took 1st Pitch,7,,14,12,,2,1,0,0,0,,,2,5,0.167,0.286,0.25,0.536,3,0,0,0,0,0,0,0.286,114,52,1
Count/Balls-Strikes,First Pitch,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-0 Count,1,,1,1,1,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,1175,542,0
Count/Balls-Strikes,0-1 Count,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-1 Count,2,,2,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,3-1 Count,2,,2,0,,0,0,0,0,0,0,0,2,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,1-2 Count,3,,4,4,,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.5,102,149,1
Count/Balls-Strikes,2-2 Count,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Count/Balls-Strikes,Full Count,4,,5,4,,0,0,0,0,0,0,0,1,3,0.0,0.2,0.0,0.2,0,0,0,0,0,0,0,0.0,-32,-56,0
Count/Balls-Strikes,After 1-0,5,,7,6,,1,1,0,0,0,,,1,2,0.167,0.286,0.333,0.619,2,0,0,0,0,0,0,0.25,153,54,0
Count/Balls-Strikes,After 2-0,1,,1,0,,0,0,0,0,0,,,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,After 3-0,1,,1,0,,0,0,0,0,0,,,1,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,After 0-1,5,,9,7,,1,0,0,0,0,,,2,4,0.143,0.333,0.143,0.476,1,0,0,0,0,0,0,0.333,80,69,1
Count/Balls-Strikes,After 1-1,6,,10,8,,1,0,0,0,0,,,2,3,0.125,0.3,0.125,0.425,1,0,0,0,0,0,0,0.2,61,34,1
Count/Balls-Strikes,After 2-1,4,,4,2,,0,0,0,0,0,,,2,1,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,70,30,0
Count/Balls-Strikes,After 3-1,3,,4,1,,0,0,0,0,0,,,3,1,0.0,0.75,0.0,0.75,0,0,0,0,0,0,0,,155,29,0
Count/Balls-Strikes,After 0-2,3,,3,3,,0,0,0,0,0,,,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Count/Balls-Strikes,After 1-2,5,,7,7,,1,0,0,0,0,,,0,5,0.143,0.143,0.143,0.286,1,0,0,0,0,0,0,0.5,16,16,1
Count/Balls-Strikes,After 2-2,4,,4,4,,0,0,0,0,0,,,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,Zero Balls,3,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,Zero Strikes,2,,2,2,1,1,1,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,2,0,0,0,0,0,0,0.5,537,203,0
Count/Balls-Strikes,Three Balls,5,,7,4,,0,0,0,0,0,0,0,3,3,0.0,0.429,0.0,0.429,0,0,0,0,0,0,0,0.0,46,-21,0
Count/Balls-Strikes,Two Strikes,6,,10,9,,1,0,0,0,0,0,0,1,6,0.111,0.2,0.111,0.311,1,0,0,0,0,0,0,0.333,20,23,1
Count/Balls-Strikes,Batter Ahead,6,,8,5,1,1,1,0,0,0,0,0,3,3,0.2,0.5,0.4,0.9,2,0,0,0,0,0,0,0.5,257,89,0
Count/Balls-Strikes,Even Count,3,,4,4,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,Pitcher Ahead,4,,5,5,,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.333,62,60,1
Number of Outs in Inning,0 outs,4,,5,5,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Number of Outs in Inning,1 out,6,,7,5,1,2,1,0,0,0,0,0,2,2,0.4,0.571,0.6,1.171,3,0,0,0,0,0,0,0.667,375,231,1
Number of Outs in Inning,2 outs,4,,5,4,1,0,0,0,0,0,0,0,1,3,0.0,0.2,0.0,0.2,0,0,0,0,0,0,0,0.0,-32,-36,0
Bases Occupied,RISP,4,,5,5,2,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,---,6,,10,8,,2,1,0,0,0,0,0,2,3,0.25,0.4,0.375,0.775,3,0,0,0,0,0,0,0.4,211,129,1
Bases Occupied,Men On,5,,7,6,2,0,0,0,0,0,0,0,1,3,0.0,0.143,0.0,0.143,0,0,0,0,0,0,0,0.0,-51,-56,0
Bases Occupied,1--,2,,2,1,,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,70,56,0
Bases Occupied,-2-,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,--3,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,12-,1,,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0
Bases Occupied,1-3,2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,123,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"on 1st,",1,,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"on 3rd,",1,,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"on 3rd, 2 out",2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"0 out, ---",2,,3,3,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, -2-",1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 1-3",1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"1 out, ---",5,,6,4,,2,1,0,0,0,0,0,2,2,0.5,0.667,0.75,1.417,3,0,0,0,0,0,0,1.0,477,315,1
Bases Occupied,"1 out, -2-",1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, 12-",1,,0,0,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,0
Bases Occupied,"1 out, 123",,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"2 out, ---",1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"2 out, 1--",2,,2,1,,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,70,60,0
Bases Occupied,"2 out, --3",1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Bases Occupied,"2 out, 12-",,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Bases Occupied,"2 out, 1-3",1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Clutch Stats,"2 outs, RISP",2,,2,2,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Clutch Stats,Late & Close,4,,4,3,1,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,0,0,0,0,0,0,0,0.0,-15,-20,0
Clutch Stats,Tie Game,3,,3,2,,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,13,6,0
Clutch Stats,Within 1 R,5,,7,6,,0,0,0,0,0,0,0,1,2,0.0,0.143,0.0,0.143,0,0,0,0,0,0,0,0.0,-51,-55,0
Clutch Stats,Within 2 R,6,,10,9,,0,0,0,0,0,0,0,1,4,0.0,0.1,0.0,0.1,0,0,0,0,0,0,0,0.0,-66,-68,0
Clutch Stats,Within 3 R,7,,12,10,1,0,0,0,0,0,0,0,2,5,0.0,0.167,0.0,0.167,0,0,0,0,0,0,0,0.0,-43,-47,0
Clutch Stats,Within 4 R,8,,14,12,1,1,1,0,0,0,0,0,2,6,0.083,0.214,0.167,0.381,2,0,0,0,0,0,0,0.167,51,10,0
Clutch Stats,Margin > 4 R,2,,3,2,1,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167,1,0,0,0,0,0,0,0.5,361,237,1
Clutch Stats,Ahead,4,,7,6,1,1,0,0,0,0,0,0,1,2,0.167,0.286,0.167,0.452,1,0,0,0,0,0,0,0.25,75,29,1
Clutch Stats,Behind,5,,7,6,1,1,1,0,0,0,0,0,1,3,0.167,0.286,0.333,0.619,2,0,0,0,0,0,0,0.333,153,81,0
Leverage,High Lvrge,1,,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leverage,Medium Lvrge,6,,8,7,,0,0,0,0,0,0,0,1,3,0.0,0.125,0.0,0.125,0,0,0,0,0,0,0,0.0,-58,-60,0
Leverage,Low Lvrge,6,,8,6,1,2,1,0,0,0,0,0,2,2,0.333,0.5,0.5,1.0,3,0,0,0,0,0,0,0.5,304,187,1
Times Facing Opponent in Game,vs. SP,3,,8,8,,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Times Facing Opponent in Game,vs. RP,6,,9,6,2,2,1,0,0,0,0,0,3,2,0.333,0.556,0.5,1.056,3,0,0,0,0,0,0,0.5,323,207,1
Times Facing Opponent in Game,"vs. SP, 1st",3,,3,3,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Times Facing Opponent in Game,"vs. SP, 2nd",3,,3,3,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Times Facing Opponent in Game,"vs. SP, 3rd",2,,2,2,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Times Facing Opponent in Game,"vs. RP, 1st",6,,9,6,,2,1,0,0,0,0,0,3,2,0.333,0.556,0.5,1.056,3,0,0,0,0,0,0,0.5,323,208,1
vs. Power/Finesse Pitchers,vs. Power,6,,7,5,,2,1,0,0,0,,,2,2,0.4,0.571,0.6,1.171,3,0,0,0,0,0,0,0.667,375,250,1
vs. Power/Finesse Pitchers,vs. avg.P/F,3,,6,5,,0,0,0,0,0,,,1,3,0.0,0.167,0.0,0.167,0,0,0,0,0,0,0,0.0,-43,-46,0
vs. Power/Finesse Pitchers,vs. Finesse,2,,4,4,,0,0,0,0,0,,,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
vs. Ground Ball/Fly Ball Pitchers,vs. Fly Ball,2,,2,1,,0,0,0,0,0,,,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,70,62,0
vs. Ground Ball/Fly Ball Pitchers,vs. avg.F/G,5,,9,8,,0,0,0,0,0,,,1,4,0.0,0.111,0.0,0.111,0,0,0,0,0,0,0,0.0,-62,-65,0
vs. Ground Ball/Fly Ball Pitchers,vs. GrndBall,3,,6,5,,2,1,0,0,0,,,1,2,0.4,0.5,0.6,1.1,3,0,0,0,0,0,0,0.667,350,210,1
Hit Location,To Infield,5,,5,5,,1,0,0,0,0,,,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,62,391,1
Hit Location,To Outfield,3,,3,3,,1,1,0,0,0,,,0,0,0.333,0.333,0.667,1.0,2,0,0,0,0,0,0,0.333,325,37,0
Hit Location,Ball In Play,6,,8,8,,2,1,0,0,0,,,0,0,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.25,160,87,1
Hit Location,Not in Play,6,,9,6,,0,0,0,0,0,,,3,6,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,,13,-6,0
Hit Location,Fair Terr,6,,8,8,,2,1,0,0,0,,,0,0,0.25,0.25,0.375,0.625,3,0,0,0,0,0,0,0.25,160,44,1
Hit Location,Pulled-RHB,2,,2,2,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Hit Location,Up Mdle-RHB,5,,5,5,,1,0,0,0,0,,,0,0,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.2,62,12,1
Hit Location,Opp Fld-RHB,1,,1,1,,1,1,0,0,0,,,0,0,1.0,1.0,2.0,3.0,2,0,0,0,0,0,0,1.0,1175,745,0
